case,seed,rmse_real_vs_virtual,rmse_real_vs_nominal,mae_real_vs_virtual,mae_real_vs_nominal,mard_real_vs_virtual_pct,mard_real_vs_nominal_pct,virtual_better_than_nominal
0,424200,49.32049560546875,51.66803741455078,48.41451644897461,50.68178176879883,37.78308629989624,39.50108289718628,1.0
1,424201,38.49943542480469,84.52906799316406,37.35437774658203,82.52757263183594,13.805165886878967,30.593809485435486,1.0
2,424202,15.992965698242188,4.627861499786377,15.048643112182617,3.6028807163238525,8.313652873039246,2.000466361641884,0.0
3,424203,32.69695281982422,40.071075439453125,31.481122970581055,38.501220703125,14.189934730529785,17.334407567977905,1.0
4,424204,26.29706573486328,55.856666564941406,25.545475006103516,54.67475509643555,10.602211952209473,22.56167232990265,1.0
5,424205,16.531593322753906,3.719595432281494,15.64793586730957,2.92604923248291,8.377102762460709,1.5859892591834068,0.0
6,424206,17.373706817626953,29.11254119873047,16.69682502746582,28.28594207763672,10.968264192342758,18.276600539684296,1.0
7,424207,57.48894500732422,89.02976989746094,56.10091018676758,87.10325622558594,20.385612547397614,31.593939661979675,1.0
8,424208,11.95826530456543,14.203439712524414,10.64581298828125,12.883100509643555,6.6836148500442505,8.057139813899994,1.0
9,424209,67.07597351074219,74.13148498535156,65.92434692382812,72.83792877197266,63.680583238601685,70.33303380012512,1.0
10,424210,6.932647228240967,23.032697677612305,5.499074459075928,22.39208221435547,2.5903496891260147,10.828501731157303,1.0
11,424211,9.933547973632812,32.47383499145508,9.345857620239258,31.64844512939453,4.265707358717918,14.32504653930664,1.0
12,424212,10.283634185791016,9.233610153198242,8.87293815612793,7.3646063804626465,5.1980335265398026,3.791622817516327,0.0
13,424213,6.994887828826904,14.978590965270996,5.475792407989502,13.65993595123291,2.936702221632004,7.089707255363464,1.0
14,424214,40.62458801269531,38.48369216918945,39.53199768066406,37.227081298828125,28.20219099521637,26.659920811653137,0.0
15,424215,6.117949485778809,24.158626556396484,5.41027307510376,23.240201950073242,2.5949420407414436,11.08478233218193,1.0
16,424216,23.443443298339844,14.445819854736328,22.569644927978516,12.58664321899414,13.225370645523071,7.563424110412598,0.0
17,424217,7.021544456481934,23.177858352661133,5.926050186157227,22.561317443847656,2.8083762153983116,10.73857843875885,1.0
18,424218,86.55135345458984,81.69962310791016,85.05963134765625,80.15044403076172,86.49072051048279,81.23038411140442,0.0
19,424219,3.6483378410339355,19.154748916625977,2.939694404602051,18.668312072753906,1.402232889086008,9.032638370990753,1.0
20,424220,4.521841049194336,4.00159215927124,4.172616958618164,3.29083251953125,2.213672548532486,1.7005136236548424,0.0
21,424221,36.83319091796875,26.62017250061035,36.06765365600586,25.9219970703125,22.78396785259247,16.441307961940765,0.0
22,424222,45.70453643798828,46.440513610839844,44.75654602050781,45.33756637573242,33.52343142032623,34.081485867500305,1.0
23,424223,9.365155220031738,6.110383033752441,8.435504913330078,4.966444492340088,4.484977945685387,2.443007379770279,0.0
24,424224,17.592092514038086,49.525753021240234,15.703574180603027,47.384578704833984,6.52909129858017,19.834034144878387,1.0
25,424225,15.516145706176758,15.02258014678955,14.325927734375,13.213821411132812,8.022364228963852,7.358107715845108,0.0
